index,Top Categories,Top Products
J0001-DR-M,,1380.0
J0001-DR-S,,4830.0
J0001-DR-XL,,2070.0
J0001-DR-XS,,2760.0
J0001-DR-XXL,,690.0
J0001-DR-XXXL,,6818.0
J0002-SKD-L,,45433.0
J0002-SKD-M,,55742.0
J0002-SKD-S,,32809.0
J0002-SKD-XL,,58713.0
J0002-SKD-XS,,26112.0
J0002-SKD-XXL,,41406.0
J0002-SKD-XXXL,,44742.0
J0003-SET-L,,76622.0
J0003-SET-M,,152476.0
J0003-SET-S,,174974.0
J0003-SET-XL,,101792.0
J0003-SET-XS,,130778.0
J0003-SET-XXL,,113130.0
J0003-SET-XXXL,,130606.0
J0004-SKD-L,,30864.0
J0004-SKD-M,,29595.0
J0004-SKD-S,,16096.0
J0004-SKD-XL,,31168.0
J0004-SKD-XS,,8172.0
J0004-SKD-XXL,,32074.0
J0004-SKD-XXXL,,39887.0
J0005-DR-B-M,,2697.0
J0005-DR-L,,55889.0
J0005-DR-M,,10185.0
J0005-DR-S,,59787.0
J0005-DR-XL,,42205.0
J0005-DR-XS,,25673.0
J0005-DR-XXL,,29269.0
J0005-DR-XXXL,,41155.0
J0006-SET-L,,40945.0
J0006-SET-M,,67958.0
J0006-SET-S,,45908.0
J0006-SET-XL,,48896.0
J0006-SET-XS,,13952.0
J0006-SET-XXL,,31397.0
J0006-SET-XXXL,,36396.0
J0007-SKD-L,,11895.0
J0007-SKD-M,,16169.0
J0007-SKD-S,,9803.0
J0007-SKD-XL,,26524.0
J0007-SKD-XS,,5472.0
J0007-SKD-XXL,,14140.0
J0007-SKD-XXXL,,18704.0
J0008-SKD-L,,129635.0
J0008-SKD-M,,165032.0
J0008-SKD-S,,137891.0
J0008-SKD-XL,,82046.0
J0008-SKD-XS,,121207.0
J0008-SKD-XXL,,66333.0
J0008-SKD-XXXL,,49635.0
J0009-SKD-L,,42256.0
J0009-SKD-M,,33695.0
J0009-SKD-S,,21934.0
J0009-SKD-XL,,29072.0
J0009-SKD-XS,,10518.0
J0009-SKD-XXL,,17400.0
J0009-SKD-XXXL,,25075.0
J0010-LCD-L,,16854.0
J0010-LCD-M,,28113.0
J0010-LCD-S,,24456.0
J0010-LCD-XL,,8322.0
J0010-LCD-XS,,15465.0
J0010-LCD-XXL,,7323.0
J0010-LCD-XXXL,,16974.0
J0011-LCD-A-L,,3390.0
J0011-LCD-M,,44828.0
J0011-LCD-S,,37004.0
J0011-LCD-XL,,16386.0
J0011-LCD-XS,,20825.0
J0011-LCD-XXL,,13390.0
J0011-LCD-XXXL,,14538.0
J0012-SKD-L,,76387.0
J0012-SKD-M,,64740.0
J0012-SKD-S,,32423.0
J0012-SKD-XL,,88687.0
J0012-SKD-XS,,40449.0
J0012-SKD-XXL,,70416.0
J0012-SKD-XXXL,,52611.0
J0013-SKD-L,,36394.0
J0013-SKD-M,,40051.0
J0013-SKD-S,,19980.0
J0013-SKD-XS,,14542.0
J0013-SKD-XXL,,34179.0
J0013-SKD-XXXL,,33096.0
J0014-LCD-L,,13146.0
J0014-LCD-M,,20145.0
J0014-LCD-S,,19903.0
J0014-LCD-XL,,7692.0
J0014-LCD-XS,,19047.0
J0014-LCD-XXL,,4944.0
J0014-LCD-XXXL,,2847.0
J0015-DR-S,,1132.0
J0015-DR-XS,,1132.0
J0016-DR-XS,,824.0
J0019-SET-M,,566.0
J0019-SET-S,,587.0
J0019-SET-XS,,1145.0
J0020-SET-XL,,1123.0
J0020-SET-XS,,1123.0
J0020-SET-XXL,,1142.0
J0020-SET-XXXL,,1658.0
J0021-TP-L,,648.0
J0021-TP-XXL,,628.0
J0022-KR-XS,,1054.0
J0023-TP-L,,5901.0
J0023-TP-S,,5913.0
J0023-TP-XL,,1959.0
J0023-TP-XS,,3324.0
J0023-TP-XXL,,11319.0
J0023-TP-XXXL,,4485.0
J0024-KR-M,,321.0
J0024-KR-XL,,979.0
J0024-KR-XXL,,321.0
J0025-DR-M,,1132.0
J0025-DR-S,,12975.0
J0025-DR-XL,,2560.0
J0025-DR-XS,,12706.0
J0025-DR-XXL,,6919.0
J0025-DR-XXXL,,8072.0
J0026-KR-S,,2226.0
J0026-KR-XS,,318.0
J0027-SET-S,,1250.0
J0027-SET-XS,,2481.0
J0027-SET-XXL,,0.0
J0028-KR-L,,954.0
J0028-KR-S,,645.0
J0028-KR-XS,,954.0
J0029-KR-S,,2070.0
J0029-KR-XS,,1045.0
J0033-KR-L,,1197.0
J0033-KR-M,,425.0
J0033-KR-S,,1596.0
J0033-KR-XL,,824.0
J0033-KR-XS,,1596.0
J0033-KR-XXL,,2021.0
J0033-KR-XXXL,,2394.0
J0034-SET-L,,6431.0
J0034-SET-M,,3585.0
J0034-SET-XL,,2894.0
J0034-SET-XS,,743.0
J0034-SET-XXL,,3585.0
J0034-SET-XXXL,,2868.0
J0036-TP-XS,,1022.0
J0037-KR-L,,522.0
J0037-KR-XXL,,1566.0
J0037-KR-XXXL,,1566.0
J0038-DR-S,,546.0
J0038-DR-XS,,2730.0
J0038-DR-XXXL,,1221.0
J0039-SET-S,,1296.0
J0039-SET-XS,,625.0
J0040-SET-XS,,643.0
J0040-SET-XXXL,,667.0
J0041-SET-L,,36945.0
J0041-SET-M,,37398.0
J0041-SET-S,,27958.0
J0041-SET-XL,,47580.0
J0041-SET-XS,,36852.0
J0041-SET-XXL,,4591.0
J0041-SET-XXXL,,4141.0
J0042-DR-L,,657.0
J0042-DR-S,,1291.0
J0042-DR-XL,,634.0
J0042-DR-XS,,634.0
J0043-SET-S,,611.0
J0043-SET-XL,,1246.0
J0043-SET-XS,,2432.0
J0044-TP-S,,1260.0
J0044-TP-XS,,299.0
J0047-TP-XL,,675.0
J0048-TP-S,,1346.0
J0048-TP-XL,,678.0
J0048-TP-XS,,1009.0
J0048-TP-XXL,,2008.0
J0049-TP-L,,642.0
J0049-TP-M,,658.0
J0049-TP-S,,329.0
J0049-TP-XL,,953.0
J0049-TP-XS,,329.0
J0049-TP-XXL,,1613.0
J0049-TP-XXXL,,987.0
J0051-KR-S,,1836.0
J0052-KR-XS,,699.0
J0053-KR-XS,,499.0
J0055-SET-XS,,3740.0
J0057-DR-S,,475.0
J0057-DR-XS,,3341.0
J0058-DR-XS,,473.0
J0062-DR-L,,475.0
J0062-DR-M,,475.0
J0062-DR-S,,982.0
J0062-DR-XS,,1441.0
J0062-DR-XXL,,1473.0
J0070-KR-M,,636.0
J0070-KR-S,,318.0
J0070-KR-XS,,318.0
J0070-KR-XXL,,318.0
J0072-KR-L,,318.0
J0072-KR-M,,636.0
J0072-KR-S,,954.0
J0072-KR-XL,,1580.0
J0072-KR-XS,,318.0
J0072-KR-XXL,,318.0
J0072-KR-XXXL,,318.0
J0073-KR-L,,333.0
J0073-KR-M,,1001.0
J0073-KR-XL,,1021.0
J0073-KR-XXL,,656.0
J0073-KR-XXXL,,1689.0
J0074-TP-L,,294.0
J0074-TP-S,,294.0
J0074-TP-XL,,650.0
J0074-TP-XS,,301.0
J0074-TP-XXL,,602.0
J0075-KR-M,,363.0
J0075-KR-S,,359.0
J0075-KR-XS,,700.0
J0076-SET-S,,468.0
J0077-SKD-L,,2257.0
J0077-SKD-M,,4597.0
J0077-SKD-S,,13344.0
J0077-SKD-XL,,1170.0
J0077-SKD-XS,,9962.0
J0077-SKD-XXL,,3415.0
J0077-SKD-XXXL,,3427.0
J0078-SET-L,,999.0
J0078-SET-M,,1998.0
J0078-SET-S,,4949.0
J0078-SET-XL,,947.0
J0078-SET-XXL,,1998.0
J0078-SET-XXXL,,947.0
J0079-SKD-L,,1556.0
J0079-SKD-S,,3079.0
J0079-SKD-XL,,1523.0
J0079-SKD-XXXL,,4635.0
J0080-TP-S,,4158.0
J0080-TP-XS,,10899.0
J0080-TP-XXL,,531.0
J0081-DR-L,,3290.0
J0081-DR-M,,5264.0
J0081-DR-S,,2632.0
J0081-DR-XL,,4817.0
J0081-DR-XS,,1478.0
J0081-DR-XXL,,4606.0
J0081-DR-XXXL,,2612.0
J0082-TP-L,,720.0
J0082-TP-S,,1080.0
J0082-TP-XL,,2880.0
J0082-TP-XS,,360.0
J0082-TP-XXL,,1080.0
J0083-KR-L,,6224.0
J0083-KR-M,,8092.0
J0083-KR-S,,3416.0
J0083-KR-XL,,5676.0
J0083-KR-XS,,565.0
J0083-KR-XXL,,1721.0
J0083-KR-XXXL,,5163.0
J0084-TP-M,,560.0
J0084-TP-S,,560.0
J0084-TP-XS,,1120.0
J0085-TP-L,,346.0
J0085-TP-M,,706.0
J0085-TP-S,,2539.0
J0085-TP-XL,,3203.0
J0085-TP-XS,,720.0
J0085-TP-XXL,,706.0
J0085-TP-XXXL,,1066.0
J0086-DR-XS,,1138.0
J0086-DR-XXXL,,1707.0
J0087-TP-L,,987.0
J0087-TP-M,,1645.0
J0087-TP-S,,658.0
J0087-TP-XL,,329.0
J0087-TP-XS,,658.0
J0087-TP-XXL,,978.0
J0087-TP-XXXL,,658.0
J0088-TP-L,,1694.0
J0088-TP-M,,4088.0
J0088-TP-S,,2492.0
J0088-TP-XL,,5285.0
J0088-TP-XS,,2093.0
J0088-TP-XXL,,3192.0
J0088-TP-XXXL,,3486.0
J0089-TP-L,,346.0
J0089-TP-M,,692.0
J0089-TP-S,,1398.0
J0089-TP-XL,,1744.0
J0089-TP-XS,,1066.0
J0089-TP-XXL,,3170.0
J0089-TP-XXXL,,2104.0
J0090-TP-L,,4971.0
J0090-TP-M,,2767.0
J0090-TP-S,,5534.0
J0090-TP-XL,,2815.0
J0090-TP-XS,,1641.0
J0090-TP-XXL,,1126.0
J0090-TP-XXXL,,4558.0
J0091-TP-L,,599.0
J0091-TP-M,,1500.0
J0091-TP-S,,301.0
J0091-TP-XL,,3629.0
J0091-TP-XS,,602.0
J0091-TP-XXL,,2094.0
J0091-TP-XXXL,,2835.0
J0092-SET-L,,14178.0
J0092-SET-M,,8330.0
J0092-SET-S,,1666.0
J0092-SET-XL,,17443.0
J0092-SET-XS,,5179.0
J0092-SET-XXL,,8330.0
J0092-SET-XXXL,,11474.0
J0093-DR-L,,1911.0
J0093-DR-M,,799.0
J0093-DR-S,,1835.0
J0093-DR-XS,,2672.0
J0093-DR-XXL,,2073.0
J0094-KR-L,,6418.0
J0094-KR-M,,14655.0
J0094-KR-S,,4544.0
J0094-KR-XL,,10399.0
J0094-KR-XS,,3443.0
J0094-KR-XXL,,7434.0
J0094-KR-XXXL,,2297.0
J0095-SET-L,,45825.0
J0095-SET-M,,32940.0
J0095-SET-S,,16279.0
J0095-SET-XL,,36348.0
J0095-SET-XS,,10262.0
J0095-SET-XXL,,45748.0
J0095-SET-XXXL,,44178.0
J0096-KR-L,,18638.0
J0096-KR-M,,16306.0
J0096-KR-S,,4678.0
J0096-KR-XL,,26364.0
J0096-KR-XS,,4611.0
J0096-KR-XXL,,27489.0
J0096-KR-XXXL,,7705.0
J0097-KR-L,,29924.0
J0097-KR-M,,39968.0
J0097-KR-S,,28618.0
J0097-KR-XL,,9168.0
J0097-KR-XS,,11449.0
J0097-KR-XXL,,15978.0
J0097-KR-XXXL,,16950.0
J0098-TP-L,,1224.0
J0098-TP-M,,3236.0
J0098-TP-S,,826.0
J0098-TP-XS,,2025.0
J0098-TP-XXL,,3625.0
J0098-TP-XXXL,,1652.0
J0100-DR-S,,0.0
J0100-DR-XS,,1099.0
J0100-DR-XXL,,1499.0
J0100-DR-XXXL,,2598.0
J0101-DR-A-M,,777.0
J0101-DR-A-XL,,0.0
J0101-DR-A-XXXL,,1598.0
J0101-DR-L,,2397.0
J0101-DR-S,,1619.0
J0101-DR-XS,,1576.0
J0101-DR-XXL,,3929.0
J0102-SKD-L,,1186.0
J0102-SKD-M,,3653.0
J0102-SKD-S,,3487.0
J0102-SKD-XL,,4673.0
J0102-SKD-XS,,1186.0
J0102-SKD-XXL,,2372.0
J0102-SKD-XXXL,,1115.0
J0103-SKD-A-M,,2676.0
J0103-SKD-L,,12103.0
J0103-SKD-S,,9459.0
J0103-SKD-XL,,8089.0
J0103-SKD-XS,,5272.0
J0103-SKD-XXL,,2676.0
J0103-SKD-XXXL,,12042.0
J0104-KR-M,,4975.0
J0104-KR-S,,3114.0
J0104-KR-XL,,884.0
J0104-KR-XS,,4529.0
J0104-KR-XXL,,3614.0
J0105-KR-L,,3996.0
J0105-KR-M,,8991.0
J0105-KR-S,,999.0
J0105-KR-XL,,12366.0
J0105-KR-XS,,2997.0
J0105-KR-XXL,,4995.0
J0105-KR-XXXL,,4935.0
J0106-KR-L,,4885.0
J0106-KR-M,,12123.0
J0106-KR-S,,10390.0
J0106-KR-XL,,10220.0
J0106-KR-XS,,2997.0
J0106-KR-XXL,,7383.0
J0106-KR-XXXL,,14244.0
J0108-SKD-L,,14836.0
J0108-SKD-M,,25920.0
J0108-SKD-S,,4533.0
J0108-SKD-XL,,13439.0
J0108-SKD-XS,,5754.0
J0108-SKD-XXL,,7953.0
J0108-SKD-XXXL,,14831.0
J0109-SKD-L,,7265.0
J0109-SKD-M,,1199.0
J0109-SKD-S,,1199.0
J0109-SKD-XL,,8577.0
J0109-SKD-XXL,,6166.0
J0109-SKD-XXXL,,3611.0
J0110-SKD-L,,826.0
J0110-SKD-M,,1801.0
J0110-SKD-S,,864.0
J0110-SKD-XL,,1728.0
J0110-SKD-XXL,,864.0
J0111-TP-L,,2538.0
J0111-TP-M,,423.0
J0111-TP-S,,2538.0
J0111-TP-XL,,7283.0
J0111-TP-XS,,2115.0
J0111-TP-XXL,,10257.0
J0111-TP-XXXL,,10349.0
J0112-TP-L,,3514.0
J0112-TP-M,,1759.0
J0112-TP-S,,708.0
J0112-TP-XL,,3869.0
J0112-TP-XS,,1754.0
J0112-TP-XXL,,2104.0
J0112-TP-XXXL,,1411.0
J0113-TP-L,,6888.0
J0113-TP-M,,28998.0
J0113-TP-S,,13358.0
J0113-TP-XL,,18732.0
J0113-TP-XS,,9490.0
J0113-TP-XXL,,18038.0
J0113-TP-XXXL,,13024.0
J0114-TP-M,,2364.0
J0114-TP-S,,678.0
J0114-TP-XS,,314.0
J0115-TP-XXL,,352.0
J0116-TP-M,,360.0
J0116-TP-S,,1463.0
J0116-TP-XS,,360.0
J0116-TP-XXL,,809.0
J0117-TP-A-XXXL,,3171.0
J0117-TP-M,,50790.0
J0117-TP-S,,20125.0
J0117-TP-XL,,50926.0
J0117-TP-XS,,14416.0
J0117-TP-XXL,,49964.0
J0117-TP-XXXL,,36072.0
J0118-TP-L,,25655.0
J0118-TP-M,,20581.0
J0118-TP-S,,14879.0
J0118-TP-XL,,58695.0
J0118-TP-XS,,3542.0
J0118-TP-XXL,,47882.0
J0118-TP-XXXL,,58559.0
J0119-TP-L,,69790.0
J0119-TP-M,,57806.0
J0119-TP-S,,18202.0
J0119-TP-XL,,93566.0
J0119-TP-XS,,9754.0
J0119-TP-XXL,,85626.0
J0119-TP-XXXL,,93572.0
J0120-TP-L,,365.0
J0120-TP-M,,365.0
J0120-TP-S,,1095.0
J0120-TP-XL,,730.0
J0120-TP-XS,,365.0
J0120-TP-XXL,,365.0
J0120-TP-XXXL,,1095.0
J0121-TP-L,,498.0
J0121-TP-S,,301.0
J0122-TP-M,,2723.0
J0122-TP-S,,5603.0
J0122-TP-XL,,3623.0
J0122-TP-XS,,659.0
J0122-TP-XXL,,8873.0
J0122-TP-XXXL,,10953.0
J0123-TP-M,,301.0
J0123-TP-XL,,1068.0
J0123-TP-XS,,534.0
J0123-TP-XXL,,3681.0
J0123-TP-XXXL,,301.0
J0124-TP-L,,8723.0
J0124-TP-M,,4379.0
J0124-TP-S,,4545.0
J0124-TP-XL,,6522.0
J0124-TP-XS,,2233.0
J0124-TP-XXL,,8015.0
J0124-TP-XXXL,,7005.0
J0126-SKD-L,,4722.0
J0126-SKD-M,,7102.0
J0126-SKD-S,,2384.0
J0126-SKD-XL,,3869.0
J0126-SKD-XS,,3202.0
J0126-SKD-XXL,,10998.0
J0126-SKD-XXXL,,8703.0
J0127-SKD-L,,18550.0
J0127-SKD-M,,1115.0
J0127-SKD-S,,10616.0
J0127-SKD-XL,,15134.0
J0127-SKD-XS,,17842.0
J0127-SKD-XXL,,5646.0
J0127-SKD-XXXL,,4744.0
J0129-SET-S,,2918.0
J0129-SET-XS,,4382.0
J0130-SET-L,,659.0
J0130-SET-M,,659.0
J0130-SET-S,,2706.0
J0130-SET-XL,,659.0
J0130-SET-XS,,4708.0
J0130-SET-XXL,,3365.0
J0130-SET-XXXL,,4024.0
J0131-KR-A-M,,369.0
J0131-KR-L,,1032.0
J0131-KR-S,,1029.0
J0131-KR-XL,,684.0
J0131-KR-XS,,2091.0
J0131-KR-XXL,,2487.0
J0131-KR-XXXL,,690.0
J0132-KR-L,,4664.0
J0132-KR-XL,,4327.0
J0132-KR-XS,,2833.0
J0132-KR-XXL,,4323.0
J0132-KR-XXXL,,8126.0
J0133-KR-A-L,,364.0
J0133-KR-A-M,,741.0
J0133-KR-A-XL,,758.0
J0133-KR-XS,,762.0
J0133-KR-XXL,,758.0
J0133-KR-XXXL,,377.0
J0134-SET-L,,6303.0
J0134-SET-M,,5646.0
J0134-SET-S,,14100.0
J0134-SET-XL,,9207.0
J0134-SET-XS,,3525.0
J0134-SET-XXL,,5622.0
J0134-SET-XXXL,,2814.0
J0135-SET-L,,15957.0
J0135-SET-M,,15957.0
J0135-SET-S,,6501.0
J0135-SET-XL,,14775.0
J0135-SET-XS,,5910.0
J0135-SET-XXL,,4728.0
J0135-SET-XXXL,,5319.0
J0136-KR-M,,568.0
J0136-KR-S,,1566.0
J0136-KR-XL,,1704.0
J0136-KR-XS,,1067.0
J0136-KR-XXL,,3408.0
J0136-KR-XXXL,,3976.0
J0137-SET-L,,3742.0
J0137-SET-M,,1442.0
J0137-SET-S,,1442.0
J0137-SET-XL,,2163.0
J0137-SET-XS,,841.0
J0137-SET-XXL,,3725.0
J0137-SET-XXXL,,2163.0
J0138-KR-M,,952.0
J0138-KR-S,,499.0
